"","HOUR_IN_YEAR","MONTH","HOUR_IN_DAY","DIFFUSED","DIRECT","GLOBAL"
"3517",3346,5,9,72.695652173913,64.4202898550725,137.115942028986
"3892",3347,5,10,85.3188405797101,78.0434782608696,163.36231884058
"4267",3348,5,11,93.9420289855072,88.8405797101449,182.782608695652
"4642",3349,5,12,99.0289855072464,96.3768115942029,195.405797101449
"5017",3350,5,13,94.7971014492754,92.1014492753623,186.898550724638
"5392",3351,5,14,90.8550724637681,83.0289855072464,173.884057971014
"5767",3352,5,15,83.6376811594203,69.3478260869565,152.985507246377
"6142",3353,5,16,69.1449275362319,55.3188405797101,124.463768115942
"6517",3354,5,17,58.0144927536232,40.1014492753623,98.1159420289855
"6892",3355,5,18,39.7246376811594,21.8115942028986,61.536231884058
"7267",3356,5,19,21.2753623188406,8.20289855072464,29.4782608695652
"7642",3357,5,20,6.05797101449275,0.971014492753623,7.02898550724638
"8017",3358,5,21,0,0,0
"8392",3359,5,22,0,0,0
"8767",3360,5,23,0,0,0
"143",3361,5,0,0,0,0
"518",3362,5,1,0,0,0
"893",3363,5,2,0,0,0
"1268",3364,5,3,0,0,0
"1643",3365,5,4,0,0,0
"2018",3366,5,5,5.98550724637681,1.27536231884058,7.26086956521739
"2393",3367,5,6,23.0434782608696,12.2898550724638,35.3333333333333
"2768",3368,5,7,40.7205882352941,33.4411764705882,74.1617647058823
"3143",3369,5,8,58.0882352941176,60.9264705882353,119.014705882353
"3518",3370,5,9,69.9411764705882,84.0294117647059,153.970588235294
"3893",3371,5,10,86.1764705882353,98.2058823529412,184.382352941176
"4268",3372,5,11,93.9117647058823,107.911764705882,201.823529411765
"4643",3373,5,12,102.058823529412,101.544117647059,203.602941176471
"5018",3374,5,13,99.5,88.3529411764706,187.852941176471
"5393",3375,5,14,95.9558823529412,81.5,177.455882352941
"5768",3376,5,15,86.4492753623188,66.2898550724638,152.739130434783
"6143",3377,5,16,74.2753623188406,48.7246376811594,123
"6518",3378,5,17,56.4057971014493,36.7101449275362,93.1159420289855
"6893",3379,5,18,38.1884057971015,22.4927536231884,60.6811594202899
"7268",3380,5,19,21.9420289855072,9.40579710144928,31.3478260869565
"7643",3381,5,20,5.60869565217391,1.10144927536232,6.71014492753623
"8018",3382,5,21,0,0,0
"8393",3383,5,22,0,0,0
"8768",3384,5,23,0,0,0
"144",3385,5,0,0,0,0
"519",3386,5,1,0,0,0
"894",3387,5,2,0,0,0
"1269",3388,5,3,0,0,0
"1644",3389,5,4,0,0,0
"2019",3390,5,5,6.6231884057971,1.71014492753623,8.33333333333333
"2394",3391,5,6,23.1739130434783,13.0144927536232,36.1884057971015
"2769",3392,5,7,39.6086956521739,34.2463768115942,73.8550724637681
"3144",3393,5,8,52.7971014492754,65.7826086956522,118.579710144928
"3519",3394,5,9,63.8985507246377,96.9420289855072,160.840579710145
"3894",3395,5,10,73.7391304347826,113.144927536232,186.884057971014
"4269",3396,5,11,83.2173913043478,123.695652173913,206.913043478261
"4644",3397,5,12,91.1159420289855,125.36231884058,216.478260869565
"5019",3398,5,13,96.7391304347826,111.231884057971,207.971014492754
