"","HOUR_IN_YEAR","MONTH","HOUR_IN_DAY","DIFFUSED","DIRECT","GLOBAL"
"1706",4805,7,4,0,0,0
"2081",4806,7,5,5.39130434782609,1.1304347826087,6.52173913043478
"2456",4807,7,6,19.6521739130435,8.31884057971014,27.9710144927536
"2831",4808,7,7,35.0289855072464,25.2898550724638,60.3188405797101
"3206",4809,7,8,52.0434782608696,49.7826086956522,101.826086956522
"3581",4810,7,9,74.1304347826087,61.1304347826087,135.260869565217
"3956",4811,7,10,80.7391304347826,78.3333333333333,159.072463768116
"4331",4812,7,11,87.2794117647059,92.1470588235294,179.426470588235
"4706",4813,7,12,95.0294117647059,84.9411764705882,179.970588235294
"5081",4814,7,13,92.1176470588235,87.1911764705882,179.308823529412
"5456",4815,7,14,85.1449275362319,70.7536231884058,155.898550724638
"5831",4816,7,15,81.2028985507246,69.4782608695652,150.68115942029
"6206",4817,7,16,72.4492753623188,54,126.449275362319
"6581",4818,7,17,56.6086956521739,47.1304347826087,103.739130434783
"6956",4819,7,18,37.5652173913044,28.8260869565217,66.3913043478261
"7331",4820,7,19,22.4347826086957,11.8405797101449,34.2753623188406
"7706",4821,7,20,6.40579710144928,1.78260869565217,8.18840579710145
"8081",4822,7,21,0,0,0
"8456",4823,7,22,0,0,0
"8831",4824,7,23,0,0,0
"207",4825,7,0,0,0,0
"582",4826,7,1,0,0,0
"957",4827,7,2,0,0,0
"1332",4828,7,3,0,0,0
"1707",4829,7,4,0,0,0
"2082",4830,7,5,5.60869565217391,1.2463768115942,6.85507246376812
"2457",4831,7,6,21.1739130434783,9.91304347826087,31.0869565217391
"2832",4832,7,7,38,27.2463768115942,65.2463768115942
"3207",4833,7,8,53.4782608695652,53.4202898550725,106.898550724638
"3582",4834,7,9,74.0441176470588,71.1617647058823,145.205882352941
"3957",4835,7,10,83.1617647058823,87.9705882352941,171.132352941176
"4332",4836,7,11,91.2647058823529,96.6176470588235,187.882352941176
"4707",4837,7,12,92.7536231884058,98.5072463768116,191.260869565217
"5082",4838,7,13,94.3478260869565,97.2753623188406,191.623188405797
"5457",4839,7,14,92.304347826087,90.2028985507246,182.507246376812
"5832",4840,7,15,85.1449275362319,85.7826086956522,170.927536231884
"6207",4841,7,16,73.8550724637681,65.8115942028985,139.666666666667
"6582",4842,7,17,54.1449275362319,43.4492753623188,97.5942028985507
"6957",4843,7,18,39.3623188405797,27.8695652173913,67.231884057971
"7332",4844,7,19,21.8840579710145,12.1449275362319,34.0289855072464
"7707",4845,7,20,6.65217391304348,1.71014492753623,8.36231884057971
"8082",4846,7,21,0.0142857142857143,0,0.0142857142857143
"8457",4847,7,22,0,0,0
"8832",4848,7,23,0,0,0
"208",4849,7,0,0,0,0
"583",4850,7,1,0,0,0
"958",4851,7,2,0,0,0
"1333",4852,7,3,0,0,0
"1708",4853,7,4,0.0142857142857143,0,0.0142857142857143
"2083",4854,7,5,5.27536231884058,1.36231884057971,6.63768115942029
"2458",4855,7,6,20.0869565217391,10.9130434782609,31
"2833",4856,7,7,35.6521739130435,30.8985507246377,66.5507246376812
"3208",4857,7,8,51.9275362318841,55.536231884058,107.463768115942
"3583",4858,7,9,67.6086956521739,76.3623188405797,143.971014492754
"3958",4859,7,10,76.4202898550725,95.463768115942,171.884057971014
"4333",4860,7,11,89.8550724637681,103.478260869565,193.333333333333
"4708",4861,7,12,95.8985507246377,102.420289855072,198.31884057971
"5083",4862,7,13,90.7826086956522,103.768115942029,194.550724637681
"5458",4863,7,14,82.4057971014493,100.159420289855,182.565217391304
"5833",4864,7,15,78.7391304347826,83.2753623188406,162.014492753623
"6208",4865,7,16,67.8115942028985,66.3623188405797,134.173913043478
"6583",4866,7,17,52.0144927536232,48.695652173913,100.710144927536
"6958",4867,7,18,38.768115942029,28.8260869565217,67.5942028985507
"7333",4868,7,19,21.2898550724638,11.5942028985507,32.8840579710145
"7708",4869,7,20,6.18840579710145,1.6231884057971,7.81159420289855
"8083",4870,7,21,0,0,0
"8458",4871,7,22,0,0,0
"8833",4872,7,23,0,0,0
"209",4873,7,0,0,0,0
"584",4874,7,1,0,0,0
"959",4875,7,2,0,0,0
"1334",4876,7,3,0,0,0
"1709",4877,7,4,0,0,0
"2084",4878,7,5,4.84057971014493,0.898550724637681,5.73913043478261
"2459",4879,7,6,19.1449275362319,9.72463768115942,28.8695652173913
"2834",4880,7,7,35.3333333333333,29.2898550724638,64.6231884057971
"3209",4881,7,8,50.6811594202899,53.536231884058,104.217391304348
"3584",4882,7,9,65.304347826087,71.1594202898551,136.463768115942
"3959",4883,7,10,77.5652173913043,87.9855072463768,165.550724637681
"4334",4884,7,11,83.231884057971,93.768115942029,177
"4709",4885,7,12,91.2898550724638,84.9275362318841,176.217391304348
"5084",4886,7,13,92.2753623188406,83.304347826087,175.579710144928
"5459",4887,7,14,91,74,165
"5834",4888,7,15,83.3913043478261,63.5797101449275,146.971014492754
"6209",4889,7,16,69.9275362318841,44.5797101449275,114.507246376812
"6584",4890,7,17,57.0434782608696,35.5652173913044,92.6086956521739
"6959",4891,7,18,40.8985507246377,24.8260869565217,65.7246376811594
"7334",4892,7,19,20.7246376811594,9.73913043478261,30.463768115942
"7709",4893,7,20,6.15942028985507,1.21739130434783,7.3768115942029
"8084",4894,7,21,0,0,0
"8459",4895,7,22,0,0,0
"8834",4896,7,23,0,0,0
"210",4897,7,0,0,0,0
"585",4898,7,1,0,0,0
"960",4899,7,2,0,0,0
"1335",4900,7,3,0,0,0
"1710",4901,7,4,0,0,0
"2085",4902,7,5,5.57971014492754,0.72463768115942,6.30434782608696
"2460",4903,7,6,21.4202898550725,9.68115942028986,31.1014492753623
"2835",4904,7,7,39.9565217391304,29.4347826086957,69.3913043478261
"3210",4905,7,8,55.7101449275362,54.304347826087,110.014492753623
"3585",4906,7,9,69.4057971014493,75.7101449275362,145.115942028986
"3960",4907,7,10,82.2173913043478,95.4492753623188,177.666666666667
"4335",4908,7,11,86.9130434782609,98.0434782608696,184.95652173913
"4710",4909,7,12,98.0289855072464,97.7971014492754,195.826086956522
"5085",4910,7,13,98.3768115942029,101.521739130435,199.898550724638
"5460",4911,7,14,98.8088235294118,96.9264705882353,195.735294117647
"5835",4912,7,15,88.6666666666667,79.6086956521739,168.275362318841
